file,file_size_mb,num_entities,processed_revisions,avg_revisions_per_entity,file_reading_sec,total_process_time_sec,peak_memory_mb
wikidatawiki-20250601-pages-meta-history19.xml-p36113242p36150694.bz2,816.6772861480713,37434,687769,18.372842870118074,1679.7587113380432,2011.9548404216766,9729.13671875
wikidatawiki-20250601-pages-meta-history23.xml-p56677115p56677297.bz2,3967.7465686798096,179,24876,138.97206703910615,1774.0874161720276,2100.119283914566,33935.08203125
wikidatawiki-20250601-pages-meta-history11.xml-p17213962p17234963.bz2,434.71732234954834,20556,1498088,72.8783810079782,855.8056273460388,856.6113729476929,23451.30859375
wikidatawiki-20250601-pages-meta-history1.xml-p182752p185301.bz2,1404.7812662124634,2492,426150,171.0072231139647,1691.883436203003,1851.9961936473846,31395.85546875
wikidatawiki-20250601-pages-meta-history27.xml-p109906252p110079192.bz2,606.6071481704712,166863,1462994,8.767635725115813,1664.8189606666565,1799.5394299030304,21375.71484375
wikidatawiki-20250601-pages-meta-history24.xml-p62020728p62032377.bz2,925.6521100997925,11617,175903,15.141861065679608,1629.996283531189,2093.517790555954,19862.95703125
wikidatawiki-20250601-pages-meta-history12.xml-p19545351p19567219.bz2,1053.9452409744263,20054,1171314,58.407998404308366,1477.9670569896698,2863.374163866043,29012.546875
wikidatawiki-20250601-pages-meta-history7.xml-p6311186p6345068.bz2,431.4043273925781,29013,1498184,51.63836900699686,841.1460535526276,841.9639985561371,16496.08203125
wikidatawiki-20250601-pages-meta-history22.xml-p53683264p53776068.bz2,776.1015949249268,92415,1141480,12.351674511713467,2209.2543823719025,2535.37442111969,10477.2109375
wikidatawiki-20250601-pages-meta-history15.xml-p26010421p26069155.bz2,594.0898246765137,54567,1460105,26.758022247878756,743.0351810455322,817.5951328277588,24629.93359375
wikidatawiki-20250601-pages-meta-history15.xml-p25629915p25692620.bz2,715.680609703064,61161,1475250,24.120763231471035,1512.7830529212952,1626.3166851997375,14354.26953125
wikidatawiki-20250601-pages-meta-history26.xml-p82915032p83032423.bz2,655.0704517364502,116490,1490596,12.795913812344407,1465.2926890850067,1557.0866658687592,13829.62890625
wikidatawiki-20250601-pages-meta-history18.xml-p36037327p36053267.bz2,450.5501537322998,15881,355188,22.3655941061646,936.6733810901642,1178.3058557510376,11452.34375
